wavelength(nm), basis_r, basis_g, basis_b
3.900000000000000000e+02,2.036442846705027732e-02,1.092506986724594148e-01,8.703848720207062462e-01
3.950000000000000000e+02,1.117973584533866749e-01,5.109922296626635368e-05,8.881515428985856664e-01
4.000000000000000000e+02,1.277050696810251573e-01,5.836935561379292571e-05,8.722365604971626940e-01
4.050000000000000000e+02,5.146726478727751269e-02,4.288768121669846220e-11,9.485327361244324518e-01
4.100000000000000000e+02,6.505901395183212588e-02,5.039121413019553903e-10,9.349409840191441612e-01
4.150000000000000000e+02,9.440077193565744873e-03,6.846021259242425494e-02,9.220997114880560286e-01
4.200000000000000000e+02,6.315890426819276149e-02,6.014477770010261061e-09,9.368410897016471450e-01
4.250000000000000000e+02,5.615824014619531790e-02,1.042376065474720486e-11,9.438417604393295468e-01
4.300000000000000000e+02,4.865704422723565042e-02,2.771715530534422225e-10,9.513429556913935992e-01
4.350000000000000000e+02,4.895971920170957836e-02,1.182438113565592595e-10,9.510402806879868498e-01
4.400000000000000000e+02,4.599265879553823821e-02,1.822878760835972895e-10,9.540073407646121328e-01
4.450000000000000000e+02,3.260879474368040543e-02,9.764210578234459176e-03,9.576269946150109957e-01
4.500000000000000000e+02,1.721006613815465887e-10,4.219369428080217005e-02,9.578063056310653911e-01
4.550000000000000000e+02,5.992236605606642528e-11,3.950727065156206530e-02,9.604927292977232245e-01
4.600000000000000000e+02,1.069222937561698482e-10,5.581367911625322725e-02,9.441863209088069420e-01
4.650000000000000000e+02,1.468250122164910042e-13,5.791914260541199122e-02,9.420808574128582968e-01
4.700000000000000000e+02,1.514067261537301316e-14,4.676043856674306359e-02,9.532395614244464355e-01
4.750000000000000000e+02,5.252939533173076626e-11,4.666094948554930233e-02,9.533390505076828614e-01
4.800000000000000000e+02,2.087646314666483249e-13,5.628704110203314182e-02,9.437129588880290854e-01
4.850000000000000000e+02,1.525817538933201410e-11,1.224562277476591021e-01,8.775437722418448772e-01
4.900000000000000000e+02,1.640521242039404137e-11,9.414811218253408276e-01,5.851887815996477393e-02
4.950000000000000000e+02,3.846252807022853969e-12,8.636217130832429811e-01,1.363782869335609937e-01
5.000000000000000000e+02,4.757414431263815243e-14,8.709156049619440898e-01,1.290843950419292008e-01
5.050000000000000000e+02,1.791500073552320971e-14,9.572844151037869231e-01,4.271558489883755388e-02
5.100000000000000000e+02,2.383569821967872702e-11,9.386320324941171966e-01,6.136796748807729629e-02
5.150000000000000000e+02,1.760465083183176585e-14,9.363339032824403718e-01,6.366609672865670977e-02
5.200000000000000000e+02,2.365885864707313896e-14,9.539141910715407402e-01,4.608580895187174009e-02
5.250000000000000000e+02,1.390683449446746721e-14,9.574166264813158689e-01,4.258337350328298548e-02
5.300000000000000000e+02,9.594464003536298743e-15,9.604122133571816322e-01,3.958778662936631582e-02
5.350000000000000000e+02,2.523484899130696253e-11,9.323167995010395170e-01,6.768320048632658903e-02
5.400000000000000000e+02,3.321872266169691144e-14,9.639386757259827965e-01,3.606132428879228052e-02
5.450000000000000000e+02,1.555662763672744357e-11,9.557545075892353026e-01,4.424549244060888703e-02
5.500000000000000000e+02,9.627142053892850988e-13,9.609575797889345905e-01,3.904242021714991046e-02
5.550000000000000000e+02,1.370884748982523098e-14,9.656941473731398551e-01,3.430585260870528536e-02
5.600000000000000000e+02,1.001867289772853722e-12,9.599173127952399520e-01,4.008268716267331111e-02
5.650000000000000000e+02,4.268936405827828582e-14,9.591941781364253794e-01,4.080582191432393507e-02
5.700000000000000000e+02,2.948007319092147555e-02,9.578239452443649826e-01,1.269598155092393349e-02
5.750000000000000000e+02,4.337800226452199343e-02,9.566219977563553689e-01,8.077970915146157729e-14
