wavelength(nm), D65 illuminant
3.900000000000000000e+02,5.464820000000000277e+01
3.950000000000000000e+02,6.870149999999999579e+01
4.000000000000000000e+02,8.275490000000000634e+01
4.050000000000000000e+02,8.712040000000000362e+01
4.100000000000000000e+02,9.148600000000000421e+01
4.150000000000000000e+02,9.245889999999999986e+01
4.200000000000000000e+02,9.343179999999999552e+01
4.250000000000000000e+02,9.005700000000000216e+01
4.300000000000000000e+02,8.668229999999999791e+01
4.350000000000000000e+02,9.577360000000000184e+01
4.400000000000000000e+02,1.048649999999999949e+02
4.450000000000000000e+02,1.109360000000000070e+02
4.500000000000000000e+02,1.170079999999999956e+02
4.550000000000000000e+02,1.174099999999999966e+02
4.600000000000000000e+02,1.178119999999999976e+02
4.650000000000000000e+02,1.163359999999999985e+02
4.700000000000000000e+02,1.148610000000000042e+02
4.750000000000000000e+02,1.153919999999999959e+02
4.800000000000000000e+02,1.159230000000000018e+02
4.850000000000000000e+02,1.123670000000000044e+02
4.900000000000000000e+02,1.088110000000000070e+02
4.950000000000000000e+02,1.090819999999999936e+02
5.000000000000000000e+02,1.093539999999999992e+02
5.050000000000000000e+02,1.085780000000000030e+02
5.100000000000000000e+02,1.078020000000000067e+02
5.150000000000000000e+02,1.062960000000000065e+02
5.200000000000000000e+02,1.047900000000000063e+02
5.250000000000000000e+02,1.062390000000000043e+02
5.300000000000000000e+02,1.076889999999999930e+02
5.350000000000000000e+02,1.060469999999999970e+02
5.400000000000000000e+02,1.044050000000000011e+02
5.450000000000000000e+02,1.042249999999999943e+02
5.500000000000000000e+02,1.040460000000000065e+02
5.550000000000000000e+02,1.020229999999999961e+02
5.600000000000000000e+02,1.000000000000000000e+02
5.650000000000000000e+02,9.816710000000000491e+01
5.700000000000000000e+02,9.633419999999999561e+01
5.750000000000000000e+02,9.606109999999999616e+01
5.800000000000000000e+02,9.578799999999999670e+01
5.850000000000000000e+02,9.223680000000000234e+01
5.900000000000000000e+02,8.868559999999999377e+01
5.950000000000000000e+02,8.934590000000000032e+01
6.000000000000000000e+02,9.000620000000000687e+01
6.050000000000000000e+02,8.980259999999999820e+01
6.100000000000000000e+02,8.959910000000000707e+01
6.150000000000000000e+02,8.864889999999999759e+01
6.200000000000000000e+02,8.769870000000000232e+01
6.250000000000000000e+02,8.549360000000000070e+01
6.300000000000000000e+02,8.328860000000000241e+01
6.350000000000000000e+02,8.349389999999999645e+01
6.400000000000000000e+02,8.369920000000000471e+01
6.450000000000000000e+02,8.186299999999999955e+01
6.500000000000000000e+02,8.002679999999999438e+01
6.550000000000000000e+02,8.012069999999999936e+01
6.600000000000000000e+02,8.021460000000000434e+01
6.650000000000000000e+02,8.124620000000000175e+01
6.700000000000000000e+02,8.227779999999999916e+01
6.750000000000000000e+02,8.028100000000000591e+01
6.800000000000000000e+02,7.828419999999999845e+01
6.850000000000000000e+02,7.400270000000000437e+01
6.900000000000000000e+02,6.972129999999999939e+01
6.950000000000000000e+02,7.066519999999999868e+01
7.000000000000000000e+02,7.160909999999999798e+01
7.050000000000000000e+02,7.297899999999999920e+01
7.100000000000000000e+02,7.434900000000000375e+01
7.150000000000000000e+02,6.797650000000000148e+01
7.200000000000000000e+02,6.160399999999999920e+01
7.250000000000000000e+02,6.574479999999999791e+01
7.300000000000000000e+02,6.988559999999999661e+01
7.350000000000000000e+02,7.248629999999999995e+01
7.400000000000000000e+02,7.508700000000000330e+01
7.450000000000000000e+02,6.933979999999999677e+01
7.500000000000000000e+02,6.359270000000000067e+01
7.550000000000000000e+02,5.500540000000000163e+01
7.600000000000000000e+02,4.641819999999999879e+01
7.650000000000000000e+02,5.661180000000000234e+01
7.700000000000000000e+02,6.680540000000000589e+01
7.750000000000000000e+02,6.509409999999999741e+01
7.800000000000000000e+02,6.338280000000000314e+01
7.850000000000000000e+02,6.384340000000000259e+01
7.900000000000000000e+02,6.430400000000000205e+01
7.950000000000000000e+02,6.187789999999999679e+01
8.000000000000000000e+02,5.945190000000000197e+01
8.050000000000000000e+02,5.570539999999999736e+01
8.100000000000000000e+02,5.195900000000000318e+01
8.150000000000000000e+02,5.469980000000000331e+01
8.200000000000000000e+02,5.744060000000000343e+01
8.250000000000000000e+02,5.887650000000000006e+01
8.300000000000000000e+02,6.031250000000000000e+01
