wavelength(nm), xbar, ybar, zbar
3.900000000000000000e+02,4.243000000000000244e-03,1.200000000000000030e-04,2.005001000000000005e-02
3.950000000000000000e+02,7.649999999999999682e-03,2.169999999999999891e-04,3.620999999999999913e-02
4.000000000000000000e+02,1.430999999999999980e-02,3.959999999999999762e-04,6.785001000000000226e-02
4.050000000000000000e+02,2.318999999999999881e-02,6.400000000000000524e-04,1.102000000000000063e-01
4.100000000000000000e+02,4.351000000000000006e-02,1.209999999999999921e-03,2.074000000000000010e-01
4.150000000000000000e+02,7.763000000000000456e-02,2.180000000000000080e-03,3.713000000000000189e-01
4.200000000000000000e+02,1.343799999999999994e-01,4.000000000000000083e-03,6.455999999999999517e-01
4.250000000000000000e+02,2.147699999999999887e-01,7.300000000000000065e-03,1.039050100000000088e+00
4.300000000000000000e+02,2.838999999999999857e-01,1.159999999999999920e-02,1.385599999999999943e+00
4.350000000000000000e+02,3.285000000000000142e-01,1.684000000000000080e-02,1.622959999999999958e+00
4.400000000000000000e+02,3.482799999999999785e-01,2.299999999999999961e-02,1.747060000000000057e+00
4.450000000000000000e+02,3.480599999999999805e-01,2.980000000000000010e-02,1.782599999999999962e+00
4.500000000000000000e+02,3.361999999999999988e-01,3.799999999999999906e-02,1.772110000000000074e+00
4.550000000000000000e+02,3.186999999999999833e-01,4.800000000000000100e-02,1.744099999999999984e+00
4.600000000000000000e+02,2.908000000000000029e-01,5.999999999999999778e-02,1.669200000000000017e+00
4.650000000000000000e+02,2.510999999999999899e-01,7.389999999999999347e-02,1.528100000000000014e+00
4.700000000000000000e+02,1.953600000000000059e-01,9.098000000000000531e-02,1.287639999999999896e+00
4.750000000000000000e+02,1.421000000000000041e-01,1.126000000000000056e-01,1.041900000000000048e+00
4.800000000000000000e+02,9.564000000000000279e-02,1.390200000000000047e-01,8.129501000000000088e-01
4.850000000000000000e+02,5.795001000000000319e-02,1.693000000000000060e-01,6.161999999999999700e-01
4.900000000000000000e+02,3.200999999999999679e-02,2.080200000000000105e-01,4.651799999999999824e-01
4.950000000000000000e+02,1.469999999999999953e-02,2.585999999999999965e-01,3.533000000000000029e-01
5.000000000000000000e+02,4.899999999999999842e-03,3.230000000000000093e-01,2.720000000000000195e-01
5.050000000000000000e+02,2.399999999999999790e-03,4.072999999999999954e-01,2.122999999999999887e-01
5.100000000000000000e+02,9.299999999999999239e-03,5.030000000000000027e-01,1.582000000000000073e-01
5.150000000000000000e+02,2.910000000000000087e-02,6.081999999999999629e-01,1.116999999999999937e-01
5.200000000000000000e+02,6.327000000000000679e-02,7.099999999999999645e-01,7.824999000000000537e-02
5.250000000000000000e+02,1.096000000000000030e-01,7.932000000000000162e-01,5.725000999999999701e-02
5.300000000000000000e+02,1.655000000000000082e-01,8.619999999999999885e-01,4.216000000000000303e-02
5.350000000000000000e+02,2.257499000000000033e-01,9.148500999999999994e-01,2.983999999999999847e-02
5.400000000000000000e+02,2.903999999999999915e-01,9.539999999999999591e-01,2.029999999999999860e-02
5.450000000000000000e+02,3.597000000000000197e-01,9.802999999999999492e-01,1.340000000000000045e-02
5.500000000000000000e+02,4.334498999999999991e-01,9.949500999999999484e-01,8.749998999999999624e-03
5.550000000000000000e+02,5.120500999999999525e-01,1.000000000000000000e+00,5.749999000000000429e-03
5.600000000000000000e+02,5.945000000000000284e-01,9.949999999999999956e-01,3.899999999999999821e-03
5.650000000000000000e+02,6.784000000000000030e-01,9.786000000000000254e-01,2.749998999999999933e-03
5.700000000000000000e+02,7.620999999999999996e-01,9.519999999999999574e-01,2.099999999999999870e-03
5.750000000000000000e+02,8.425000000000000266e-01,9.153999999999999915e-01,1.799999999999999951e-03
5.800000000000000000e+02,9.163000000000000034e-01,8.699999999999999956e-01,1.650000999999999898e-03
5.850000000000000000e+02,9.786000000000000254e-01,8.163000000000000256e-01,1.399999999999999986e-03
5.900000000000000000e+02,1.026299999999999990e+00,7.570000000000000062e-01,1.100000000000000066e-03
5.950000000000000000e+02,1.056699999999999973e+00,6.948999999999999622e-01,1.000000000000000021e-03
6.000000000000000000e+02,1.062200000000000033e+00,6.310000000000000053e-01,8.000000000000000383e-04
6.050000000000000000e+02,1.045600000000000085e+00,5.667999999999999705e-01,5.999999999999999474e-04
6.100000000000000000e+02,1.002599999999999936e+00,5.030000000000000027e-01,3.400000000000000244e-04
6.150000000000000000e+02,9.384000000000000119e-01,4.411999999999999811e-01,2.400000000000000061e-04
6.200000000000000000e+02,8.544498999999999844e-01,3.810000000000000053e-01,1.900000000000000105e-04
6.250000000000000000e+02,7.513999999999999568e-01,3.210000000000000075e-01,1.000000000000000048e-04
6.300000000000000000e+02,6.423999999999999710e-01,2.650000000000000133e-01,4.999999000000000170e-05
6.350000000000000000e+02,5.419000000000000483e-01,2.169999999999999984e-01,3.000000000000000076e-05
6.400000000000000000e+02,4.479000000000000203e-01,1.749999999999999889e-01,2.000000000000000164e-05
6.450000000000000000e+02,3.608000000000000096e-01,1.381999999999999895e-01,1.000000000000000082e-05
6.500000000000000000e+02,2.834999999999999742e-01,1.069999999999999979e-01,0.000000000000000000e+00
