wavelength(nm), xbar, ybar, zbar
3.900000000000000000e+02,3.769643335763909770e-03,4.146153767869399870e-04,1.847260486885127229e-02
3.950000000000000000e+02,9.382912535363959958e-03,1.059637109654579896e-03,4.609757339320119662e-02
4.000000000000000000e+02,2.214307715784305866e-02,2.452191065003289910e-03,1.096094855065685991e-01
4.050000000000000000e+02,4.742955203727862445e-02,4.971714661158600432e-03,2.369233829595289997e-01
4.100000000000000000e+02,8.953781288581195985e-02,9.079856674033189370e-03,4.508355540760680125e-01
4.150000000000000000e+02,1.446218691971827841e-01,1.429388457553240101e-02,7.378840239345489938e-01
4.200000000000000000e+02,2.035708154239009027e-01,2.027376072180499950e-02,1.051811864613276137e+00
4.250000000000000000e+02,2.488555012859538784e-01,2.612110084086829986e-02,1.305022843746544980e+00
4.300000000000000000e+02,2.918213496689988640e-01,3.319039263322910022e-02,1.552809074318123095e+00
4.350000000000000000e+02,3.227052985051584444e-01,4.157938058737500192e-02,1.748268161302065860e+00
4.400000000000000000e+02,3.482524575464253647e-01,5.033641367070330191e-02,1.917467804504735085e+00
4.450000000000000000e+02,3.418490645971824504e-01,5.743341157700640465e-02,1.918439294411937945e+00
4.500000000000000000e+02,3.224630081828351869e-01,6.472374114673010159e-02,1.848536716207554997e+00
4.550000000000000000e+02,2.826645031962458088e-01,7.238289813669679384e-02,1.664439862505944001e+00
4.600000000000000000e+02,2.485214552084404893e-01,8.514810756437700412e-02,1.522152289146488036e+00
4.650000000000000000e+02,2.219769288271173646e-01,1.060149816768861941e-01,1.428427021570572997e+00
4.700000000000000000e+02,1.806888755012590331e-01,1.298966232276848043e-01,1.250599092982161986e+00
4.750000000000000000e+02,1.291894195205640083e-01,1.535063795803419950e-01,9.991900428482519692e-01
4.800000000000000000e+02,8.183104836173793473e-02,1.788054216325809798e-01,7.552454637619390176e-01
4.850000000000000000e+02,4.600910750862101384e-02,2.064846312433649966e-01,5.617305175044600141e-01
4.900000000000000000e+02,2.084673179956796768e-02,2.379161422459510067e-01,4.099284958883220309e-01
4.950000000000000000e+02,7.102398034008965133e-03,2.850685055732219975e-01,3.105904119973200150e-01
5.000000000000000000e+02,2.472677086680950993e-03,3.483534268273020262e-01,2.376773953411999984e-01
5.050000000000000000e+02,3.651443913612743928e-03,4.277586219671469792e-01,1.719998404807021875e-01
5.100000000000000000e+02,1.556897176691702731e-02,5.204941177348130221e-01,1.176787530393149928e-01
5.150000000000000000e+02,4.314509492431482796e-02,6.206204962983719042e-01,8.283579638066919382e-02
5.200000000000000000e+02,7.964808853753284346e-02,7.180885695862520013e-01,5.650385364137310018e-02
5.250000000000000000e+02,1.268652528247811995e-01,7.946462945649530596e-01,3.751872351259569888e-02
5.300000000000000000e+02,1.818188042176538954e-01,8.575845808734289255e-01,2.438135895091020008e-02
5.350000000000000000e+02,2.405098097405177493e-01,9.071370936887649394e-01,1.566167108913500000e-02
